"","poisson"
"1971",307.900017473962
"1972",321.965973574959
"1973",352.255888653449
"1974",302.638159203865
"1975",316.337816333915
"1976",296.296222688212
"1977",299.759228814081
"1978",313.260772250772
"1979",352.715098021905
"1980",332.135294467963
"1981",329.257611905291
"1982",335.337800253649
"1983",341.120891373769
"1984",521.558546897753
"1985",1087.46178826704
"1986",956.393153845352
"1987",746.463885264699
"1988",755.632022904487
"1989",831.898569669569
"1990",703.001059736106
"1991",958.378647092292
"1992",796.898129207303
"1993",932.742420297395
"1994",812.070093081126
"1995",952.478584958724
"1996",1053.34372460828
"1997",1075.18047187439
"1998",1042.01950266105
"1999",985.012938708777
"2000",1006.31234087856
"2001",753.0690400232
"2002",912.824719122578
"2003",421.476768856973
"2004",1183.74044356685
"2005",1277.4447179497
"2006",923.283475050375
"2007",892.774112491564
"2008",994.995474155099
"2009",805.338609650893
"2010",777.310595361104
"2011",668.342136143965
"2012",751.298627927116
"2013",669.738536353659
"2014",849.743711645239
"2015",869.412113408765
"2016",798.462722810802
"2017",608.138637210096
"2018",545.57750912325
"2019",596.36036429209
"2020",449.680241428311
